1003: 宁银理财宁欣天天鎏金现金管理类理财产品4号
1003C: 宁银理财宁欣天天鎏金现金管理类理财产品4号-C份额
1003D: 宁银理财宁欣天天鎏金现金管理类理财产品4号-D份额
1003E: 宁银理财宁欣天天鎏金现金管理类理财产品4号-E份额
1003F: 宁银理财宁欣天天鎏金现金管理类理财产品4号-F份额
1003I: 宁银理财宁欣天天鎏金现金管理类理财产品4号-I份额
1004: 宁银理财宁欣天天鎏金现金管理类理财产品5号
1004C: 宁银理财宁欣天天鎏金现金管理类理财产品5号-C份额
1004D: 宁银理财宁欣天天鎏金现金管理类理财产品5号-D份额
1004E: 宁银理财宁欣天天鎏金现金管理类理财产品5号-E份额
1004G: 宁银理财宁欣天天鎏金现金管理类理财产品5号-G份额
1004H: 宁银理财宁欣天天鎏金现金管理类理财产品5号-H份额
1004I: 宁银理财宁欣天天鎏金现金管理类理财产品5号-I份额
1004J: 宁银理财宁欣天天鎏金现金管理类理财产品5号-J份额
1005: 宁银理财宁欣天天鎏金现金管理类理财产品3号
1005B: 宁银理财宁欣天天鎏金现金管理类理财产品3号-B份额
1005D: 宁银理财宁欣天天鎏金现金管理类理财产品3号-D份额
1005E: 宁银理财宁欣天天鎏金现金管理类理财产品3号-E份额
1005F: 宁银理财宁欣天天鎏金现金管理类理财产品3号-F份额
8001: 宁银理财宁欣天天鎏金现金管理类理财产品6号
